"kodjaz","akrcis","kodcis","chodnota","zkrtext","text","admplod","admnepo"
"CS","MKN-10_U2",5121,"G03","Meningitida způsobená jinými a neurčenými příčinami","Meningitida způsobená jinými a neurčenými příčinami","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"G04","Zánět mozku (encefalitida), míchy (myelitida) a mozku i mích","Zánět mozku (encefalitida), míchy (myelitida) a mozku i míchy (encefalomyelitida)","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"G05","Encefalitida, myelitida a encefalomyelitida při nemocech ZJ","Encefalitida, myelitida a encefalomyelitida při nemocech ZJ","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"G06","Nitrolební a páteřní absces a granulom","Nitrolební a páteřní absces a granulom","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"G07","Nitrolební a páteřní absces a granulom při nemocech ZJ","Nitrolební a páteřní absces a granulom při nemocech ZJ","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"G08","Flebitida a tromboflebitida nitrolební a páteřní","Flebitida a tromboflebitida nitrolební a páteřní","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"G09","Následky zánětlivých nemocí centrální nervové soustavy","Následky zánětlivých nemocí centrální nervové soustavy","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"G10","Huntingtonova nemoc","Huntingtonova nemoc","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"G11","Dědičná ataxie","Dědičná ataxie","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"G12","Míšní svalová atrofie a příbuzné syndromy","Míšní svalová atrofie a příbuzné syndromy","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"G13","Systémová atrofie primárně postihující CNS při nemocech ZJ","Systémová atrofie primárně postihující CNS při nemocech ZJ","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"G14","Postpoliomyelitický syndrom, syndrom po infekční obrně","Postpoliomyelitický syndrom, syndrom po infekční obrně","2011-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"G20","Parkinsonova nemoc","Parkinsonova nemoc","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"G21","Sekundární parkinsonismus","Sekundární parkinsonismus","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"G22","Parkinsonismus při nemocech ZJ","Parkinsonismus při nemocech ZJ","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"G23","Jiné degenerativní nemoci bazálních ganglií","Jiné degenerativní nemoci bazálních ganglií","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"G24","Dystonie","Dystonie","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"G25","Jiné extrapyramidové a pohybové poruchy","Jiné extrapyramidové a pohybové poruchy","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"G26","Extrapyramidové a pohybové poruchy při nemocech ZJ","Extrapyramidové a pohybové poruchy při nemocech ZJ","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"G30","Alzheimerova nemoc","Alzheimerova nemoc","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"G31","Jiné degenerativní nemoci nervové soustavy NJ","Jiné degenerativní nemoci nervové soustavy NJ","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"G32","Jiné degenerativní poruchy nervové soustavy při nemocech ZJ","Jiné degenerativní poruchy nervové soustavy při nemocech ZJ","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"G35","Roztroušená skleróza [sclerosis multiplex]","Roztroušená skleróza [sclerosis multiplex]","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"G36","Jiná akutní roztroušená demyelinizace","Jiná akutní roztroušená demyelinizace","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"G37","Jiné demyelinizující nemoci centrální nervové soustavy","Jiné demyelinizující nemoci centrální nervové soustavy","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"G40","Epilepsie – padoucnice","Epilepsie – padoucnice","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"G41","Status epilepticus","Status epilepticus","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"G43","Migréna","Migréna","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"G44","Jiné syndromy bolesti hlavy","Jiné syndromy bolesti hlavy","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"G45","Přechodné mozkové ischemické záchvaty a příbuzné syndromy","Přechodné mozkové ischemické záchvaty a příbuzné syndromy","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"G46","Cévní syndromy mozku při cerebrovaskulárních nemocech (I60–I","Cévní syndromy mozku při cerebrovaskulárních nemocech (I60–I67+)","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"G47","Poruchy spánku","Poruchy spánku","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"G50","Poruchy trojklaného nervu [nervi trigemini]","Poruchy trojklaného nervu [nervi trigemini]","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"G51","Poruchy lícního nervu [nervi facialis]","Poruchy lícního nervu [nervi facialis]","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"G52","Poruchy jiných mozkových nervů","Poruchy jiných mozkových nervů","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"G53","Nemoci mozkových nervů při nemocech zařazených jinde","Nemoci mozkových nervů při nemocech zařazených jinde","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"G54","Nemoci nervových kořenů a pletení","Nemoci nervových kořenů a pletení","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"G55","Komprese nervových kořenů a pletení při nemocech ZJ","Komprese nervových kořenů a pletení při nemocech ZJ","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"G56","Mononeuropatie horní končetiny","Mononeuropatie horní končetiny","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"G57","Mononeuropatie dolní končetiny","Mononeuropatie dolní končetiny","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"G58","Jiné mononeuropatie","Jiné mononeuropatie","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"G59","Mononeuropatie při nemocech ZJ","Mononeuropatie při nemocech ZJ","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"G60","Dědičná a idiopatická neuropatie","Dědičná a idiopatická neuropatie","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"G61","Zánětlivá polyneuropatie","Zánětlivá polyneuropatie","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"G62","Jiné polyneuropatie","Jiné polyneuropatie","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"G63","Polyneuropatie při nemocech zařazených jinde","Polyneuropatie při nemocech zařazených jinde","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"G64","Jiné nemoci periferní nervové soustavy","Jiné nemoci periferní nervové soustavy","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"G70","Myasthenia gravis a jiné myoneurální poruchy","Myasthenia gravis a jiné myoneurální poruchy","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"G71","Primární poruchy svalů","Primární poruchy svalů","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"G72","Jiné myopatie","Jiné myopatie","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"G73","Poruchy myoneurálního spojení a svalů při nemocech ZJ","Poruchy myoneurálního spojení a svalů při nemocech ZJ","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"G80","Mozková obrna","Mozková obrna","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"G81","Hemiplegie","Hemiplegie","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"G82","Paraplegie a tetraplegie","Paraplegie a tetraplegie","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"G83","Jiné paralytické syndromy","Jiné paralytické syndromy","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"G90","Poruchy autonomní nervové soustavy","Poruchy autonomní nervové soustavy","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"G91","Hydrocefalus","Hydrocefalus","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"G92","Toxická encefalopatie","Toxická encefalopatie","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"G93","Jiné poruchy mozku","Jiné poruchy mozku","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"G94","Jiné poruchy mozku při nemocech ZJ","Jiné poruchy mozku při nemocech ZJ","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"G95","Jiné nemoci míchy","Jiné nemoci míchy","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"G96","Jiné poruchy centrální nervové soustavy","Jiné poruchy centrální nervové soustavy","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"G97","Stavy po výkonech na nervové soustavě NJ","Stavy po výkonech na nervové soustavě NJ","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"G98","Jiné poruchy nervové soustavy NJ","Jiné poruchy nervové soustavy NJ","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"G99","Jiné poruchy nervové soustavy při nemocech ZJ","Jiné poruchy nervové soustavy při nemocech ZJ","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"H00","Ječné zrno [hordeolum] a vlčí zrno [chalazion]","Ječné zrno [hordeolum] a vlčí zrno [chalazion]","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"H01","Jiné záněty očního víčka","Jiné záněty očního víčka","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"H02","Jiné nemoci očního víčka","Jiné nemoci očního víčka","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"H03","Nemoci očního víčka při nemocech ZJ","Nemoci očního víčka při nemocech ZJ","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"H04","Nemoci slzného ústrojí","Nemoci slzného ústrojí","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"H05","Onemocnění očnice","Onemocnění očnice","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"H06","Onemocnění slzného ústrojí a očnice při nemocech ZJ","Onemocnění slzného ústrojí a očnice při nemocech ZJ","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"H10","Zánět oční spojivky [conjunctivitis]","Zánět oční spojivky [conjunctivitis]","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"H11","Jiná onemocnění spojivky","Jiná onemocnění spojivky","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"H13","Onemocnění spojivky při nemocech ZJ","Onemocnění spojivky při nemocech ZJ","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"H15","Nemoci skléry (bělimy)","Nemoci skléry (bělimy)","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"H16","Zánět rohovky (keratitida)","Zánět rohovky (keratitida)","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"H17","Rohovkové jizvy a zákaly","Rohovkové jizvy a zákaly","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"H18","Jiné nemoci rohovky","Jiné nemoci rohovky","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"H19","Nemoci skléry a rohovky při nemocech ZJ","Nemoci skléry a rohovky při nemocech ZJ","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"H20","Zánět duhovky a řasnatého tělesa – iridocyklitida","Zánět duhovky a řasnatého tělesa – iridocyklitida","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"H21","Jiné nemoci duhovky a řasnatého tělesa","Jiné nemoci duhovky a řasnatého tělesa","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"H22","Nemoci duhovky a řasnatého tělesa při nemocech ZJ","Nemoci duhovky a řasnatého tělesa při nemocech ZJ","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"H25","Stařecký zákal oční čočky – senilní katarakta","Stařecký zákal oční čočky – senilní katarakta","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"H26","Jiná katarakta","Jiná katarakta","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"H27","Jiná onemocnění čočky","Jiná onemocnění čočky","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"H28","Katarakta a jiná onemocnění čočky při nemocech ZJ","Katarakta a jiná onemocnění čočky při nemocech ZJ","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"H30","Záněty cévnatky a sítnice","Záněty cévnatky a sítnice","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"H31","Jiná onemocnění cévnatky","Jiná onemocnění cévnatky","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"H32","Chorioretinální onemocnění při nemocech ZJ","Chorioretinální onemocnění při nemocech ZJ","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"H33","Odchlípení a trhliny sítnice","Odchlípení a trhliny sítnice","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"H34","Sítnicové cévní uzávěry – okluze","Sítnicové cévní uzávěry – okluze","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"H35","Jiná onemocnění sítnice","Jiná onemocnění sítnice","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"H36","Onemocnění sítnice při nemocech ZJ","Onemocnění sítnice při nemocech ZJ","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"H40","Glaukom","Glaukom","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"H42","Glaukom při nemocech ZJ","Glaukom při nemocech ZJ","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"H43","Nemoci sklivce","Nemoci sklivce","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"H44","Nemoci očního bulbu","Nemoci očního bulbu","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"H45","Nemoci sklivce a bulbu očního při nemocech ZJ","Nemoci sklivce a bulbu očního při nemocech ZJ","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"H46","Zánět zrakového nervu [neuritis nervi optici]","Zánět zrakového nervu [neuritis nervi optici]","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"H47","Jiná onemocnění zrakového nervu a zrakových drah","Jiná onemocnění zrakového nervu a zrakových drah","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"H48","Nemoci zrakového nervu a zrakových drah při nemocech ZJ","Nemoci zrakového nervu a zrakových drah při nemocech ZJ","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"H49","Paralytický strabizmus","Paralytický strabizmus","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"H50","Jiný strabizmus","Jiný strabizmus","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"H51","Jiné poruchy binokulárního pohybu","Jiné poruchy binokulárního pohybu","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"H52","Poruchy refrakce a akomodace","Poruchy refrakce a akomodace","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"H53","Poruchy vidění","Poruchy vidění","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"H54","Poškození zraku včetně slepoty (binokulární nebo monokulární","Poškození zraku včetně slepoty (binokulární nebo monokulární)","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"H55","Nystagmus a jiné nepravidelné pohyby oka","Nystagmus a jiné nepravidelné pohyby oka","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"H57","Jiné nemoci oka a očních adnex","Jiné nemoci oka a očních adnex","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"H58","Jiné nemoci oka a očních adnex při nemocech ZJ","Jiné nemoci oka a očních adnex při nemocech ZJ","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"H59","Stavy oka a očních adnex po výkonech NJ","Stavy oka a očních adnex po výkonech NJ","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"H60","Zánět zevního ucha [otitis externa]","Zánět zevního ucha [otitis externa]","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"H61","Jiné nemoci zevního ucha","Jiné nemoci zevního ucha","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"H62","Onemocnění zevního ucha při nemocech ZJ","Onemocnění zevního ucha při nemocech ZJ","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"H65","Nehnisavý zánět středního ucha [otitis media nonsuppurativa]","Nehnisavý zánět středního ucha [otitis media nonsuppurativa]","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"H66","Hnisavý a neurčený zánět středního ucha [otitis media suppur","Hnisavý a neurčený zánět středního ucha [otitis media suppurativa et otitis media NS]","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"H67","Zánět středního ucha [otitis media] při nemocech ZJ","Zánět středního ucha [otitis media] při nemocech ZJ","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"H68","Zánět a obstrukce Eustachovy trubice","Zánět a obstrukce Eustachovy trubice","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"H69","Jiná onemocnění Eustachovy trubice","Jiná onemocnění Eustachovy trubice","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"H70","Zánět bradavkového výběžku (mastoiditida) a příbuzná onemocn","Zánět bradavkového výběžku (mastoiditida) a příbuzná onemocnění","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"H71","Cholesteatom středního ucha","Cholesteatom středního ucha","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"H72","Perforace bubínku","Perforace bubínku","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"H73","Jiné nemoci bubínku","Jiné nemoci bubínku","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"H74","Jiná onemocnění středního ucha a bradavkového výběžku","Jiná onemocnění středního ucha a bradavkového výběžku","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"H75","Jiná onem. středního ucha a bradavkového výběžku při nem. ZJ","Jiná onem. středního ucha a bradavkového výběžku při nem. ZJ","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"H80","Otoskleróza","Otoskleróza","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"H81","Poruchy vestibulární funkce","Poruchy vestibulární funkce","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"H82","Vertiginózní syndromy při nemocech ZJ","Vertiginózní syndromy při nemocech ZJ","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"H83","Jiné nemoci vnitřního ucha","Jiné nemoci vnitřního ucha","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"H90","Převodní a percepční ztráta sluchu","Převodní a percepční ztráta sluchu","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"H91","Jiná ztráta sluchu","Jiná ztráta sluchu","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"H92","Otalgie a výtok z ucha","Otalgie a výtok z ucha","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"H93","Jiná onemocnění ucha NJ","Jiná onemocnění ucha NJ","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"H94","Jiná onemocnění ucha při nemocech ZJ","Jiná onemocnění ucha při nemocech ZJ","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"H95","Stavy ucha a bradavkového výběžku po výkonech NJ","Stavy ucha a bradavkového výběžku po výkonech NJ","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"I00","Revmatická horečka bez postižení srdce","Revmatická horečka bez postižení srdce","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"I01","Revmatická horečka s postižením srdce","Revmatická horečka s postižením srdce","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"I02","Revmatická chorea","Revmatická chorea","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"I05","Revmatická vada dvojcípé chlopně [valvulae mitralis]","Revmatická vada dvojcípé chlopně [valvulae mitralis]","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"I06","Revmatická vada aortální chlopně","Revmatická vada aortální chlopně","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"I07","Revmatické nemoci trojcípé chlopně [valvulae tricuspidalis]","Revmatické nemoci trojcípé chlopně [valvulae tricuspidalis]","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"I08","Mnohočetná onemocnění chlopní","Mnohočetná onemocnění chlopní","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"I09","Jiné revmatické nemoci srdce","Jiné revmatické nemoci srdce","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"I10","Esenciální (primární) hypertenze","Esenciální (primární) hypertenze","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"I11","Postižení srdce při hypertenzi","Postižení srdce při hypertenzi","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"I12","Postižení ledvin při hypertenzi","Postižení ledvin při hypertenzi","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"I13","Hypertenzní nemoc srdce a ledvin","Hypertenzní nemoc srdce a ledvin","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"I15","Sekundární hypertenze","Sekundární hypertenze","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"I20","Angina pectoris","Angina pectoris","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"I21","Akutní infarkt myokardu","Akutní infarkt myokardu","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"I22","Pokračující infarkt myokardu","Pokračující infarkt myokardu","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"I23","Některé komplikace následující akutní infarkt myokardu","Některé komplikace následující akutní infarkt myokardu","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"I24","Jiné akutní ischemické choroby srdeční","Jiné akutní ischemické choroby srdeční","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"I25","Chronická ischemická choroba srdeční","Chronická ischemická choroba srdeční","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"I26","Plicní embolie","Plicní embolie","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"I27","Jiné kardiopulmonální nemoci","Jiné kardiopulmonální nemoci","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"I28","Jiné nemoci plicních cév","Jiné nemoci plicních cév","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"I30","Akutní zánět osrdečníku [pericarditis acuta]","Akutní zánět osrdečníku [pericarditis acuta]","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"I31","Jiné nemoci osrdečníku (perikardu)","Jiné nemoci osrdečníku (perikardu)","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"I32","Zánět osrdečníku (perikarditida) při nemocech ZJ","Zánět osrdečníku (perikarditida) při nemocech ZJ","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"I33","Akutní a subakutní endokarditida","Akutní a subakutní endokarditida","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"I34","Nerevmatická onemocnění dvojcípé chlopně [valvulae mitralis]","Nerevmatická onemocnění dvojcípé chlopně [valvulae mitralis]","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"I35","Nerevmatická onemocnění aortální chlopně","Nerevmatická onemocnění aortální chlopně","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"I36","Nerevmatická onemocnění trojcípé chlopně [valvulae tricuspid","Nerevmatická onemocnění trojcípé chlopně [valvulae tricuspidalis]","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"I37","Onemocnění pulmonální chlopně","Onemocnění pulmonální chlopně","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"I38","Endokarditida neurčené chlopně","Endokarditida neurčené chlopně","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"I39","Endokarditida a onemocnění srdečních chlopní při nemocech ZJ","Endokarditida a onemocnění srdečních chlopní při nemocech ZJ","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"I40","Akutní zánět srdečního svalu [myocarditis acuta]","Akutní zánět srdečního svalu [myocarditis acuta]","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"I41","Zánět srdečního svalu (myokarditida) při nemocech ZJ","Zánět srdečního svalu (myokarditida) při nemocech ZJ","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"I42","Kardiomyopatie","Kardiomyopatie","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"I43","Kardiomyopatie při nemocech ZJ","Kardiomyopatie při nemocech ZJ","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"I44","Blokáda atrioventrikulární a levého raménka","Blokáda atrioventrikulární a levého raménka","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"I45","Jiné poruchy vedení srdečních vzruchů","Jiné poruchy vedení srdečních vzruchů","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"I46","Srdeční zástava","Srdeční zástava","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"I47","Paroxyzmální tachykardie","Paroxyzmální tachykardie","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"I48","Fibrilace a flutter síní","Fibrilace a flutter síní","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"I49","Jiné srdeční arytmie","Jiné srdeční arytmie","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"I50","Selhání srdce","Selhání srdce","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"I51","Komplikace a nepřesně určené a popsané nemoci srdce","Komplikace a nepřesně určené a popsané nemoci srdce","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"I52","Jiná onemocnění oběhové soustavy při nemocech ZJ","Jiná onemocnění oběhové soustavy při nemocech ZJ","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"I60","Subarachnoidální krvácení","Subarachnoidální krvácení","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"I61","Intracerebrální (nitromozkové) krvácení","Intracerebrální (nitromozkové) krvácení","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"I62","Jiné neúrazové nitrolební krvácení","Jiné neúrazové nitrolební krvácení","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"I63","Mozkový infarkt","Mozkový infarkt","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"I64","Cévní mozková příhoda (mrtvice) neurčená jako krvácení nebo ","Cévní mozková příhoda (mrtvice) neurčená jako krvácení nebo infarkt","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"I65","Uzávěr (okluze) a zúžení (stenóza) přívod. mozk. tepen nekon","Uzávěr (okluze) a zúžení (stenóza) přívod. mozk. tepen nekončící mozkovým infarktem","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"I66","Uzávěr (okluze) a zúžení (stenóza) mozk. tepen nekončící moz","Uzávěr (okluze) a zúžení (stenóza) mozk. tepen nekončící mozkovým infarktem","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"I67","Jiná cévní onemocnění mozku","Jiná cévní onemocnění mozku","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"I68","Cévní onemocnění mozku při nemocech ZJ","Cévní onemocnění mozku při nemocech ZJ","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"I69","Následky cévních nemocí mozku","Následky cévních nemocí mozku","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"I70","Ateroskleróza","Ateroskleróza","1994-01-01","9999-09-09"
